Name,Time length,IMDb Rating,Metascopre,Total Votes
The Shawshank Redemption,142 min,9.3,81,"2,564,978"
The Godfather,175 min,9.2,100,"1,765,414"
The Dark Knight,152 min,9.1,84,"2,527,705"
The Lord of the Rings: The Return of the King,201 min,9,94,"1,765,182"
Schindler's List,195 min,9,94,"1,307,303"
The Godfather: Part II,202 min,9,90,"1,221,968"
12 Angry Men,96 min,9,96,"757,623"
The Lord of the Rings: The Fellowship of the Ring,178 min,8.9,92,"1,786,948"
Pulp Fiction,154 min,8.9,94,"1,969,411"
Inception,148 min,8.8,74,"2,251,332"
The Lord of the Rings: The Two Towers,179 min,8.8,87,"1,594,733"
Fight Club,139 min,8.8,66,"2,018,323"
Forrest Gump,142 min,8.8,82,"1,978,577"
"The Good, the Bad and the Ugly",178 min,8.8,90,"738,104"
Interstellar,169 min,8.7,74,"1,708,996"
The Matrix,136 min,8.7,73,"1,846,845"
Goodfellas,145 min,8.7,90,"1,107,039"
Star Wars: Episode V - The Empire Strikes Back,124 min,8.7,82,"1,241,393"
One Flew Over the Cuckoo's Nest,133 min,8.7,84,"977,648"
Seven Samurai,207 min,8.7,98,"337,147"
It's a Wonderful Life,130 min,8.7,89,"442,163"
City of God,130 min,8.6,79,"737,571"
The Pianist,150 min,8.6,85,"799,167"
Spirited Away,125 min,8.6,96,"724,595"
Saving Private Ryan,169 min,8.6,91,"1,336,451"
The Green Mile,189 min,8.6,61,"1,247,160"
Life Is Beautiful,116 min,8.6,59,"672,185"
Se7en,127 min,8.6,65,"1,572,704"
Léon: The Professional,110 min,8.6,64,"1,118,481"
Terminator 2: Judgment Day,137 min,8.6,75,"1,061,594"
The Silence of the Lambs,118 min,8.6,85,"1,375,577"
Back to the Future,116 min,8.6,87,"1,151,440"
Star Wars,121 min,8.6,90,"1,312,891"
Hara-Kiri,133 min,8.6,85,"53,052"
Parasite,132 min,8.5,96,"728,773"
Avengers: Infinity War,149 min,8.5,68,"995,851"
Whiplash,106 min,8.5,88,"799,431"
Django Unchained,165 min,8.5,81,"1,482,132"
The Intouchables,112 min,8.5,57,"825,167"
3 Idiots,170 min,8.5,67,"382,358"
Spider-Man: No Way Home,148 min,8.5,71,"550,192"
The Prestige,130 min,8.5,66,"1,285,057"
The Departed,151 min,8.5,85,"1,277,272"
Memento,113 min,8.5,80,"1,200,252"
Gladiator,155 min,8.5,67,"1,443,750"
American History X,119 min,8.5,62,"1,090,880"
The Usual Suspects,106 min,8.5,77,"1,055,081"
The Lion King,88 min,8.5,88,"1,016,304"
Cinema Paradiso,155 min,8.5,80,"252,839"
Grave of the Fireflies,89 min,8.5,94,"264,020"
Apocalypse Now,147 min,8.5,94,"646,766"
Alien,117 min,8.5,89,"847,706"
Once Upon a Time in the West,165 min,8.5,80,"321,735"
Psycho,109 min,8.5,97,"649,125"
Rear Window,112 min,8.5,100,"477,835"
Casablanca,102 min,8.5,100,"556,478"
Modern Times,87 min,8.5,96,"235,743"
City Lights,87 min,8.5,99,"180,602"
Hamilton,160 min,8.4,90,"84,770"
Capernaum,126 min,8.4,75,"83,242"
Joker,122 min,8.4,59,"1,167,170"
Your Name.,106 min,8.4,79,"245,338"
Dangal,161 min,8.4,,"180,389"
Spider-Man: Into the Spider-Verse,117 min,8.4,87,"479,508"
Avengers: Endgame,181 min,8.4,78,"1,030,255"
Coco,105 min,8.4,81,"469,235"
The Batman,176 min,8.4,72,"279,409"
The Dark Knight Rises,164 min,8.4,78,"1,636,795"
Like Stars on Earth,165 min,8.4,,"187,133"
WALL·E,98 min,8.4,95,"1,075,973"
The Lives of Others,137 min,8.4,89,"381,283"
Old Boy,120 min,8.4,77,"558,002"
American Beauty,122 min,8.4,84,"1,126,816"
Princess Mononoke,134 min,8.4,76,"378,706"
Braveheart,178 min,8.4,68,"1,011,563"
Come and See,142 min,8.4,,"73,553"
Aliens,137 min,8.4,84,"695,604"
Once Upon a Time in America,229 min,8.4,75,"340,391"
Amadeus,160 min,8.4,88,"391,402"
Indiana Jones and the Raiders of the Lost Ark,115 min,8.4,85,"938,537"
The Boat,149 min,8.4,86,"245,914"
The Shining,146 min,8.4,66,"977,380"
High and Low,143 min,8.4,,"42,183"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95 min,8.4,97,"477,600"
Witness for the Prosecution,116 min,8.4,,"121,124"
Paths of Glory,88 min,8.4,90,"192,091"
Pather Panchali,125 min,8.4,,"30,954"
Sunset Blvd.,110 min,8.4,,"216,335"
The Great Dictator,125 min,8.4,,"218,898"
1917,119 min,8.3,78,"540,187"
The Hunt,115 min,8.3,77,"316,641"
A Separation,123 min,8.3,95,"239,913"
Incendies,131 min,8.3,80,"170,427"
Up,96 min,8.3,88,"1,006,685"
The Father,97 min,8.3,88,"129,530"
My Father and My Son,112 min,8.3,,"85,179"
Toy Story 3,103 min,8.3,92,"808,157"
Batman Begins,140 min,8.3,70,"1,412,485"
Inglourious Basterds,153 min,8.3,69,"1,382,745"
Eternal Sunshine of the Spotless Mind,108 min,8.3,89,"974,261"
Amélie,122 min,8.3,69,"739,701"
Snatch,102 min,8.3,55,"831,943"
Requiem for a Dream,102 min,8.3,68,"815,759"
L.A. Confidential,138 min,8.3,90,"567,953"
Good Will Hunting,126 min,8.3,70,"930,578"
Toy Story,81 min,8.3,95,"956,380"
Heat,170 min,8.3,76,"629,143"
Reservoir Dogs,99 min,8.3,79,"984,282"
Indiana Jones and the Last Crusade,127 min,8.3,65,"734,218"
Die Hard,132 min,8.3,72,"852,549"
Full Metal Jacket,116 min,8.3,76,"719,274"
Scarface,170 min,8.3,65,"804,710"
Star Wars: Episode VI - Return of the Jedi,131 min,8.3,58,"1,014,565"
Taxi Driver,114 min,8.3,94,"789,137"
Dersu Uzala,142 min,8.3,,"27,755"
The Sting,129 min,8.3,83,"256,041"
A Clockwork Orange,136 min,8.3,77,"805,083"
2001: A Space Odyssey,149 min,8.3,84,"647,432"
For a Few Dollars More,132 min,8.3,74,"250,055"
To Kill a Mockingbird,129 min,8.3,88,"310,199"
Lawrence of Arabia,218 min,8.3,100,"286,328"
Judgment at Nuremberg,179 min,8.3,60,"75,771"
The Apartment,125 min,8.3,94,"177,063"
North by Northwest,136 min,8.3,98,"319,913"
Vertigo,128 min,8.3,100,"392,316"
Singin' in the Rain,103 min,8.3,99,"235,332"
Ikiru,143 min,8.3,91,"76,187"
All About Eve,138 min,8.3,98,"128,845"
Bicycle Thieves,89 min,8.3,,"159,836"
Double Indemnity,107 min,8.3,95,"153,478"
Citizen Kane,119 min,8.3,100,"432,129"
M,99 min,8.3,,"154,415"
Metropolis,153 min,8.3,98,"170,683"
The Kid,68 min,8.3,,"123,804"
Green Book,130 min,8.2,69,"456,786"
Klaus,96 min,8.2,65,"139,909"
Inside Out,95 min,8.2,94,"681,187"
The Secret in Their Eyes,129 min,8.2,80,"205,308"
Warrior,140 min,8.2,71,"460,831"
Harry Potter and the Deathly Hallows: Part 2,130 min,8.2,85,"838,061"
Shutter Island,138 min,8.2,63,"1,246,551"
The Wolf of Wall Street,180 min,8.2,75,"1,327,178"
No Country for Old Men,122 min,8.2,92,"934,068"
There Will Be Blood,158 min,8.2,93,"565,110"
Pan's Labyrinth,118 min,8.2,98,"652,905"
V for Vendetta,132 min,8.2,62,"1,093,309"
Downfall,156 min,8.2,82,"348,620"
Howl's Moving Castle,119 min,8.2,80,"374,926"
A Beautiful Mind,135 min,8.2,72,"904,403"
Kill Bill: Vol. 1,111 min,8.2,69,"1,076,733"
Finding Nemo,100 min,8.2,90,"1,010,669"
The Sixth Sense,107 min,8.2,64,"963,307"
"Lock, Stock and Two Smoking Barrels",107 min,8.2,66,"568,062"
The Truman Show,103 min,8.2,90,"1,026,324"
Children of Heaven,89 min,8.2,77,"73,015"
Trainspotting,93 min,8.2,83,"670,374"
Casino,178 min,8.2,73,"502,579"
Jurassic Park,127 min,8.2,68,"938,764"
Unforgiven,130 min,8.2,85,"401,729"
My Neighbor Totoro,86 min,8.2,86,"324,279"
Ran,162 min,8.2,96,"122,576"
The Thing,109 min,8.2,57,"406,463"
Raging Bull,129 min,8.2,89,"344,027"
The Elephant Man,124 min,8.2,78,"235,648"
Monty Python and the Holy Grail,91 min,8.2,91,"528,749"
Chinatown,130 min,8.2,92,"317,668"
The Great Escape,172 min,8.2,86,"239,539"
Yojimbo,110 min,8.2,93,"120,166"
Some Like It Hot,121 min,8.2,98,"260,731"
Wild Strawberries,91 min,8.2,88,"105,041"
The Bridge on the River Kwai,161 min,8.2,87,"215,958"
Dial M for Murder,105 min,8.2,75,"171,374"
Tokyo Story,136 min,8.2,,"59,881"
The Wages of Fear,131 min,8.2,85,"59,711"
Rashomon,88 min,8.2,98,"164,534"
The Treasure of the Sierra Madre,126 min,8.2,98,"122,416"
To Be or Not to Be,99 min,8.2,86,"35,615"
Gone with the Wind,238 min,8.2,97,"308,420"
The Passion of Joan of Arc,114 min,8.2,,"53,138"
The General,67 min,8.2,,"89,319"
The Gold Rush,95 min,8.2,,"109,140"
Sherlock Jr.,45 min,8.2,,"48,048"
"Three Billboards Outside Ebbing, Missouri",115 min,8.1,88,"485,719"
The Handmaiden,145 min,8.1,84,"136,431"
Logan,137 min,8.1,77,"720,548"
Room,118 min,8.1,86,"405,743"
Wild Tales,122 min,8.1,77,"192,273"
The Grand Budapest Hotel,99 min,8.1,88,"774,693"
Gone Girl,149 min,8.1,79,"943,375"
Hacksaw Ridge,139 min,8.1,71,"495,754"
12 Years a Slave,134 min,8.1,96,"681,819"
Rush,123 min,8.1,74,"465,407"
Ford v Ferrari,152 min,8.1,81,"360,342"
Spotlight,129 min,8.1,93,"456,241"
The Help,146 min,8.1,62,"446,948"
Prisoners,153 min,8.1,70,"671,442"
Mad Max: Fury Road,120 min,8.1,90,"960,941"
Gran Torino,116 min,8.1,72,"757,997"
Dune,155 min,8.1,74,"521,760"
Hachi: A Dog's Tale,93 min,8.1,,"275,591"
Mary and Max,92 min,8.1,,"174,154"
How to Train Your Dragon,98 min,8.1,75,"714,333"
Into the Wild,148 min,8.1,73,"609,026"
Million Dollar Baby,132 min,8.1,86,"671,925"
Hotel Rwanda,121 min,8.1,79,"349,540"
Ratatouille,111 min,8.1,96,"694,045"
Before Sunset,80 min,8.1,90,"255,339"
Memories of Murder,132 min,8.1,82,"169,907"
Pirates of the Caribbean: The Curse of the Black Pearl,143 min,8.1,63,"1,069,487"
The Incredibles,115 min,8.1,90,"702,147"
Catch Me If You Can,141 min,8.1,75,"929,275"
Amores perros,154 min,8.1,83,"236,266"
"Monsters, Inc.",92 min,8.1,79,"876,906"
The Big Lebowski,117 min,8.1,71,"785,973"
Fargo,98 min,8.1,85,"660,160"
La Haine,98 min,8.1,,"166,647"
Before Sunrise,101 min,8.1,77,"296,285"
In the Name of the Father,133 min,8.1,84,"170,387"
Groundhog Day,101 min,8.1,72,"610,103"
Aladdin,90 min,8.1,86,"398,354"
Beauty and the Beast,84 min,8.1,95,"438,223"
Dances with Wolves,181 min,8.1,72,"257,349"
Dead Poets Society,128 min,8.1,79,"467,408"
Stand by Me,89 min,8.1,75,"390,524"
Platoon,120 min,8.1,92,"404,354"
The Terminator,107 min,8.1,84,"836,456"
Gandhi,191 min,8.1,79,"226,712"
Blade Runner,117 min,8.1,84,"743,884"
Life of Brian,94 min,8.1,77,"390,538"
The Deer Hunter,183 min,8.1,86,"331,976"
Rocky,120 min,8.1,70,"556,082"
Network,121 min,8.1,83,"156,078"
Jaws,124 min,8.1,87,"577,961"
Barry Lyndon,185 min,8.1,89,"162,965"
The Exorcist,122 min,8.1,81,"388,369"
Cool Hand Luke,127 min,8.1,92,"173,703"
Persona,83 min,8.1,86,"114,663"
The Sound of Music,172 min,8.1,63,"223,836"
The Battle of Algiers,121 min,8.1,96,"58,664"
The 400 Blows,99 min,8.1,,"114,785"
Ben-Hur,212 min,8.1,90,"233,856"
The Seventh Seal,96 min,8.1,88,"180,697"
On the Waterfront,108 min,8.1,91,"151,811"
The Third Man,93 min,8.1,97,"168,743"
The Best Years of Our Lives,170 min,8.1,93,"62,515"
Rebecca,130 min,8.1,86,"134,311"
The Grapes of Wrath,129 min,8.1,96,"90,981"
The Wizard of Oz,102 min,8.1,92,"387,116"
Mr. Smith Goes to Washington,129 min,8.1,73,"113,823"
It Happened One Night,105 min,8.1,87,"101,561"
